"""Id"",""Date"",""Name of document"",""Result of vote"",""Parliament or council"",""Policy area""";;;;
"388,23/10/12,""European Globalisation Adjustment Fund: application EGF/2012/002 DE/manroland from Germany - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"389,23/10/12,""Community regime for the control of exports, transfer, brokering and transit of dual-use items - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"390,23/10/12,""European Year of Citizens (2013) - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"391,23/10/12,""Trade and economic relations with the United States - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""International trade""";;;;
"392,23/10/12,""Future of EU development policy - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Development""";;;;
"393,23/10/12,""Minimum level of training of seafarers - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Transport & tourism""";;;;
"394,23/10/12,""Discharge 2010: European Environment Agency - Proposal for a decision : vote: decision (as a whole)"",""-"",""EP"",""Budgetary control""";;;;
"395,23/10/12,""Forest reproductive material - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"396,23/10/12,""SMEs: competitiveness and business opportunities - Motion for a resolution : Paragraph 51/3"",""+"",""EP"",""Industry, research & energy""";;;;
"397,23/10/12,""Protocol to the Euro-Mediterranean Agreement establishing an association between the EC and Israel on Conformity Assessment and Acceptance of Industrial Products (CAA) - Draft legislative resolution : vote: legislative resolution - consent"",""+"",""EP"",""International trade""";;;;
"398,23/10/12,""European Globalisation Adjustment Fund: application EGF/2012/001 IE/Talk Talk - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"399,23/10/12,""European Globalisation Adjustment Fund: application EGF/2011/015/SE/AstraZeneca  - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"400,23/10/12,""Draft general budget of the European Union - 2013 financial year - Motion for a resolution : Am 351,amendment 351"",""+"",""EP"",""Budget""";;;;
"401,23/10/12,""General budget of the European Union for the financial year 2013 - all sections - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"402,23/10/12,""Multiannual financial framework for the years 2014-2020 - Interim report : vote: resolution (as a whole)   - consent"",""+"",""EP"",""Budget""";;;;
"403,23/10/12,""Own resource based on the value added tax - Draft legislative resolution : single vote - consultation"",""+"",""EP"",""Budget""";;;;
"404,23/10/12,""Financial rules applicable to the annual budget - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Budget""";;;;
"405,23/10/12,""Draft amending budget No 4/2012 - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"406,13/09/12,""Permitted uses of orphan works - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"407,13/09/12,""Emergency autonomous trade preferences for Pakistan - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"408,13/09/12,""Azerbaijan: the case of Ramil Safarov - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"409,13/09/12,""Implementation of the bilateral safeguard clause and the stabilisation mechanism for bananas of the Association Agreement between the EU and Central America - Draft legislative resolution : Article 10(1),amendment 37 - ordinary legislative procedure, first reading"",""-"",""EP"",""International trade""";;;;
"410,13/09/12,""Exclusion of certain countries from trade preferences - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"411,13/09/12,""Intergovernmental agreements between Member States and third countries in the field of energy - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Industry, research & energy""";;;;
"412,13/09/12,""Agricultural product quality schemes - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"413,13/09/12,""Implementation of the bilateral safeguard clause and the stabilisation mechanism for bananas of the Trade Agreement between the EU and Colombia and Peru - Draft legislative resolution : Amendments by the committee responsible – separate vote,amendment 28 - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"414,13/09/12,""Forwarding to and handling by the European Parliament of classified information held by the Council on matters other than those in the area of the Common Foreign and Security Policy - Proposal for a decision : single vote"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"415,12/09/12,""Minimum standards on the rights, support and protection of victims of crime - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"416,12/09/12,""Administration of certain Community tariff quotas for high-quality beef, and for pigmeat, poultrymeat, wheat and meslin, and brans, sharps and other residues - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"417,12/09/12,""Imports of olive oil and other agricultural products from Turkey as regards the delegated and implementing powers to be conferred on the Commission - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"418,12/09/12,""EC-Australia agreement on mutual recognition in relation to conformity assessment, certificates and markings - Draft legislative resolution : single vote - consent"",""+"",""EP"",""International trade""";;;;
"419,12/09/12,""EC-New Zealand agreement on mutual recognition in relation to conformity assessment - Draft legislative resolution : single vote - consent"",""+"",""EP"",""International trade""";;;;
"420,12/09/12,""Measures in relation to countries allowing non-sustainable fishing for the purpose of the conservation of fish stocks - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"421,12/09/12,""Common organisation of the markets in fishery and aquaculture products - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"422,12/09/12,""Annual report from the Council to the European Parliament on the Common Foreign and Security Policy - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"423,12/09/12,""Conservation and sustainable exploitation of fisheries resources - Motion for a resolution : Paragraph 4"",""+"",""EP"",""Fisheries""";;;;
"424,12/09/12,""Reform of the Common Fisheries Policy - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Fisheries""";;;;
"425,11/09/12,""Mobilisation of the European Globalisation Adjustment Fund: EGF/2011/008 DK/Odense Steel Shipyard from Denmark - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"426,11/09/12,""Mobilisation of the European Globalisation Adjustment Fund: EGF/2011/017 ES/Aragon - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"427,11/09/12,""Energy efficiency - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Industry, research & energy""";;;;
"428,11/09/12,""Alleged transportation and illegal detention of prisoners in European countries by the CIA - Motion for a resolution : single vote"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"429,11/09/12,""Enhanced intra-EU solidarity in the field of asylum - Motion for a resolution : single vote"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"430,11/09/12,""European standardisation - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Internal market & consumer protection""";;;;
"431,11/09/12,""Electronic identification of bovine animals - Draft legislative resolution : Title 2, section 2 ,amendment 46 - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"432,11/09/12,""Pharmacovigilance (amendment of Directive 2001/83/EC) - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"433,11/09/12,""Pharmacovigilance (amendment of Regulation (EC) No 726/2004) - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"434,11/09/12,""Sulphur content of marine fuels - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"435,11/09/12,""Single payment scheme and support to vine-growers - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"436,11/09/12,""Administrative cooperation through the internal market information system - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Internal market & consumer protection""";;;;
"437,11/09/12,""Common system of taxation applicable to interest and royalty payments - Draft legislative resolution : vote: legislative resolution - consultation"",""+"",""EP"",""Economic & monetary affairs""";;;;
"438,11/09/12,""Preparation of the Commission work programme 2013 - Joint motion for a resolution : Paragraph 3"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"439,11/09/12,""Voluntary and unpaid donation of tissues and cells - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Environment & public health""";;;;
"440,05/07/12,""Protocol on the Statute of the Court of Justice of the European Union - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"441,05/07/12,""Temporary judges of the European Union civil service tribunal - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Legal affairs""";;;;
"442,05/07/12,""Financial aid in the field of the trans-European transport and energy networks - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Budget""";;;;
"443,05/07/12,""Draft amending budget No 3/2012: surplus from the 2011 financial year - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"444,05/07/12,""Violence against lesbians and LGBT rights in Africa  - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"445,05/07/12,""Forced abortion scandal in China - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"446,04/07/12,""Common rules for direct support schemes for farmers - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"447,04/07/12,""Support for rural development by the European Agricultural Fund for Rural Development - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"448,04/07/12,""Common organisation of agricultural markets and specific provisions for certain agricultural products - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"449,04/07/12,""Financing of the common agricultural policy - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"450,04/07/12,""Organic production and labelling of organic products - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"451,04/07/12,""System of financing by the European Agricultural Guarantee Fund - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"452,04/07/12,""Anti-Counterfeiting Trade Agreement between the EU and its Member States, Australia, Canada, Japan, the Republic of Korea, Mexico, Morocco, New Zealand, Singapore, Switzerland and the USA - Draft legislative resolution : vote: request for referral to committee - consent"",""-"",""EP"",""International trade""";;;;
"453,04/07/12,""Direct payments to farmers - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Agriculture""";;;;
"454,04/07/12,""2013 budget - mandate for trilogue - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"455,04/07/12,""Strategy for the protection and welfare of animals - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Agriculture""";;;;
"456,04/07/12,""Conclusions of the European Council meeting (28-29 June 2012) - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Internal regulations of the EP""";;;;
"457,04/07/12,""Access to basic banking services - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Economic & monetary affairs""";;;;
"458,03/07/12,""Request for consultation of the European Economic and Social Committee on establishing a European Social Mark - Plenary sitting agenda : single vote"",""+"",""EP"",""Internal regulations of the EP""";;;;
"459,03/07/12,""Insurance and reinsurance (Solvency II) - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Economic & monetary affairs""";;;;
"460,03/07/12,""Association of overseas countries and territories with the European Community - Draft legislative resolution : single vote - consultation"",""+"",""EP"",""Development""";;;;
"461,03/07/12,""Evolution of EU macro-regional strategies: present practice and future prospects, especially in the Mediterranean - Motion for a resolution : single vote"",""+"",""EP"",""Regional development""";;;;
"462,03/07/12,""Single European railway area - Draft legislative resolution : Proposal to reject the  Council position,amendment 92 - ordinary legislative procedure, second reading"",""-"",""EP"",""Transport & tourism""";;;;
"463,03/07/12,""Recording equipment in road transport - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Transport & tourism""";;;;
"464,03/07/12,""Customs enforcement of intellectual property rights - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Internal market & consumer protection""";;;;
"465,03/07/12,""Implementation of EU water legislation - Motion for a resolution : Paragraph 2/3"",""+"",""EP"",""Environment & public health""";;;;
"466,03/07/12,""Attractiveness of investing in Europe - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Economic & monetary affairs""";;;;
"467,14/06/12,""Stock of herring distributed to the west of Scotland - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"468,14/06/12,""Cases of impunity in the Philippines - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"469,14/06/12,""Situation of ethnic minorities in Iran - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"470,14/06/12,""Motions for resolutions - Defective silicone gel breast implants made by French company PIP - Motion for a resolution : Paragraph 7"",""+"",""EP"",""Gender equality""";;;;
"471,14/06/12,""Female genital mutilation - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Gender equality""";;;;
"472,14/06/12,""Towards a job-rich recovery - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Employment & social affairs""";;;;
"473,14/06/12,""Public consultations and their availability in all EU languages - Motion for a resolution : Paragraph 2,amendment 4"",""-"",""EP"",""Civil liberties, justice & home affairs""";;;;
"474,14/06/12,""Food intended for infants and young children and food for special medical purposes - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"475,14/06/12,""Future of the Single Market Act - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Internal market & consumer protection""";;;;
"476,14/06/12,""Major-accident hazards involving dangerous substances - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"477,13/06/12,""Negotiations on the UN Arms Trade Treaty - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""International trade""";;;;
"478,13/06/12,""Multiannual financial framework and own resources - ECR group - Motion for a resolution : vote: resolution (as a whole)"",""-"",""EP"",""Economic & monetary affairs""";;;;
"479,13/06/12,""Multiannual financial framework and own resources - EFD group - Motion for a resolution : vote: resolution (as a whole)"",""-"",""EP"",""Economic & monetary affairs""";;;;
"480,13/06/12,""Scheme of generalised tariff preferences - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""International trade""";;;;
"481,13/06/12,""Economic and budgetary surveillance of Member States with serious difficulties with respect to their financial stability in the euro area - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",""+"",""EP"",""Economic & monetary affairs""";;;;
"482,13/06/12,""Monitoring and assessing draft budgetary plans and ensuring the correction of excessive deficit of the Member States in the euro area - Draft legislative resolution : vote: amended proposal   - ordinary legislative procedure, first reading"",""+"",""EP"",""Economic & monetary affairs""";;;;
"483,13/06/12,""Extension of the geographic scope of the EBRD to the Southern and Eastern Mediterranean - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Economic & monetary affairs""";;;;
"484,13/06/12,""EU Special Representative for Human Rights - Proposal for a recommendation to the Council : vote: proposal for recommandation"",""+"",""EP"",""Foreign & security policy""";;;;
"485,13/06/12,""Motions for resolutions - EU trade agreement with Colombia and Peru - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""International trade""";;;;
"486,13/06/12,""Guinea-Bissau - Joint motion for a resolution : Paragraph 21"",""+"",""EP"",""Foreign & security policy""";;;;
"487,13/06/12,""EU trade negotiations with Japan  - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""International trade""";;;;
"488,13/06/12,""Multiannual financial framework and own resources - EPP, S&D, ALDE, Verts/ALE, GUE/NGL - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Economic & monetary affairs""";;;;
"489,12/06/12,""Energy policy cooperation with partners beyond our borders - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Industry, research & energy""";;;;
"490,12/06/12,""European Globalisation Adjustment Fund (EGF) - application EGF/2011/020 ES/Comunidad Valenciana - Footwear, Spain - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"491,12/06/12,""Draft amending budget No 2/ 2012: EU Solidarity Fund appropriations to address flooding in Italy (Liguria and Tuscany) in 2011 - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"492,12/06/12,""Mobilisation of the EU Solidarity Fund - floods in Liguria and Tuscany - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"493,12/06/12,""Mobilisation of the European Globalisation Adjustment Fund: EGF/2012/000 TA 2012 - technical assistance at the initiative of the Commission - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budget""";;;;
"494,12/06/12,""Development cooperation with Latin America - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Development""";;;;
"495,12/06/12,""Cross-border voluntary activities in the EU - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Culture & education""";;;;
"496,12/06/12,""Critical information infrastructure protection: towards global cyber-security - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Industry, research & energy""";;;;
"497,24/05/12,""Venezuela: possible withdrawal from the Inter-American Commission on Human Rights - Greens, S&D, GUE/NGL - Joint motion for a resolution : vote: resolution (as a whole)"",""-"",""EP"",""Foreign & security policy""";;;;
"498,24/05/12,""A resource-efficient Europe - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Environment & public health""";;;;
"499,24/05/12,""Equal pay for male and female workers for equal work or work of equal value - Motion for a resolution : Paragraph 1/2"",""+"",""EP"",""Gender equality""";;;;
"500,24/05/12,""Motions for resolutions - Swiss quotas on the number of residence permits granted to nationals of Poland, Lithuania, Latvia, Estonia, Slovenia, Slovakia, Czech Republic, Hungary - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"501,24/05/12,""Situation in Ukraine, case of Yulia Tymoshenko - Joint motion for a resolution : Am 1,amendment 1"",""-"",""EP"",""Foreign & security policy""";;;;
"502,24/05/12,""Fight against homophobia in Europe - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"503,24/05/12,""Venezuela: possible withdrawal from the Inter-American Commission on Human Rights - EFD, ALDE, ECR, EPP - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"504,24/05/12,""Situation of North Korean refugees - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"505,24/05/12,""Azerbaijan - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"506,23/05/12,""European Parliament's right of inquiry - Motion for a resolution : Am 18,amendment 18"",""+"",""EP"",""International trade""";;;;
"507,23/05/12,""Common system for taxing financial transactions - Draft legislative resolution : vote: legislative resolution - consultation"",""+"",""EP"",""Economic & monetary affairs""";;;;
"508,23/05/12,""EU and China: unbalanced trade? - Motion for a resolution : Paragraph 30/2"",""+"",""EP"",""International trade""";;;;
"509,23/05/12,""Double-hull or equivalent design requirements for single-hull oil tankers - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Transport & tourism""";;;;
"510,23/05/12,""Fishing opportunities and financial contribution provided for by the EU-Mozambique Fisheries Partnership Agreement - Draft legislative resolution : vote: legislative resolution - consent"",""+"",""EP"",""Fisheries""";;;;
"511,23/05/12,""Bluefin tuna in the eastern Atlantic and Mediterranean - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Fisheries""";;;;
"512,22/05/12,""Amendment of Rules of Procedure with regard to the implementation of the European citizens' initiative - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Constitutional and inter-institutional affairs""";;;;
"513,22/05/12,""Denominations and technical specifications of euro coins intended for circulation - Draft legislative resolution : single vote - consultation"",""+"",""EP"",""Economic & monetary affairs""";;;;
"514,22/05/12,""European Union's internal security strategy - Motion for a resolution : single vote"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"515,22/05/12,""An EU approach to criminal law - Motion for a resolution : single vote"",""+"",""EP"",""Civil liberties, justice & home affairs""";;;;
"516,22/05/12,""Issuance of euro coins - Draft legislative resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Economic & monetary affairs""";;;;
"517,22/05/12,""Internal market scoreboard - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Internal market & consumer protection""";;;;
"518,22/05/12,""A 2020 perspective for women in Turkey - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Gender equality""";;;;
"519,10/05/12,""Maritime piracy - Joint motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Fisheries""";;;;
"520,10/05/12,""Roaming on public mobile communications networks within the Union - Motion for a resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Industry, research & energy""";;;;
"521,10/05/12,""Export and import of dangerous chemicals - Motion for a resolution : vote: legislative resolution - ordinary legislative procedure, first reading"",""+"",""EP"",""Environment & public health""";;;;
"522,10/05/12,""Trade and investment strategy for the Southern Mediterranean following the Arab Spring revolutions - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""International trade""";;;;
"523,10/05/12,""Discharge 2010: European Maritime Safety Agency - Decision on the discharge - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"524,10/05/12,""Discharge 2010: European Agency for Health and Safety at Work -Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"525,10/05/12,""2010 discharge: EU general budget, Section III, Commission - Decision on the discharge  No 1 - Section III - Commission   - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"526,10/05/12,""Electronic publication of the Official Journal of the European Union - Draft legislative resolution : single vote - consent"",,""EP"",""Legal affairs""";;;;
"527,10/05/12,""Protection against dumped imports from countries not members of the European Community - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",,""EP"",""International trade""";;;;
"528,10/05/12,""Restrictions on imports of certain steel products from Russia - Draft legislative resolution : single vote - ordinary legislative procedure, first reading"",,""EP"",""International trade""";;;;
"529,10/05/12,""Discharge 2010: Translation Centre for the Bodies of the European Union - Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"530,10/05/12,""Discharge 2010: European Environment Agency - Decision to postpone on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"531,10/05/12,""Discharge 2010: European Food Safety Agency - Decision to postpone on the discharge - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"532,10/05/12,""Discharge 2010: European Institute for Gender Equality - Decision on the discharge - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"533,10/05/12,""Discharge 2010: European Medicines Agency - Decision to postpone on the discharge - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"534,10/05/12,""Discharge 2010: European Railway Agency - Decision on the discharge - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"535,10/05/12,""ECA special reports in the context of the 2010 Commission discharge - Motion for resolution - Motion for a resolution : vote: resolution (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"536,10/05/12,""2010 discharge: EU general budget, European Parliament - Decision on the discharge   - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"537,10/05/12,""Discharge 2010: 8th, 9th and 10th European Development Funds - Decision on the discharge   - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"538,10/05/12,""Discharge 2010: EU general budget, Council - Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"539,10/05/12,""Discharge 2010: EU general budget, Court of Justice - Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"540,10/05/12,""Discharge 2010: EU general budget, Court of Auditors - Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"541,10/05/12,""Discharge 2010: EU general budget, Economic and Social Committee - Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"542,10/05/12,""Discharge 2010: EU general budget, Committee of the Regions - Decision on the discharge  - Motion for a resolution : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"543,10/05/12,""Discharge 2010: EU general budget, European Ombudsman - Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"544,10/05/12,""Discharge 2010: EU general budget, European Data Protection Supervisor - Decision on the discharge  - Proposal for a decision : vote: decision (as a whole)"",""+"",""EP"",""Budgetary control""";;;;
"545,10/05/12,""Discharge 2010: performance, financial management and control of EU agencies - Motion for resolution - Motion for a resolution : § 3,amendment 14D"",""-"",""EP"",""Budgetary control""";;;;
"546,20/04/12,""Our life insurance, our natural capital: an EU biodiversity strategy to 2020 - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Environment & public health""";;;;
"547,20/04/12,""Review of the 6th Environment Action Programme and the setting of priorities for the 7th Environment Action Programme - Motion for a resolution : Paragraph 32/1"",""+"",""EP"",""Environment & public health""";;;;
"548,20/04/12,""Situation in Mali - Joint motion for a resolution : Paragraph 17"",""+"",""EP"",""Foreign & security policy""";;;;
"549,20/04/12,""Modernising Europe's higher education systems - Motion for a resolution : single vote"",""+"",""EP"",""Culture & education""";;;;
"550,20/04/12,""Draft amending budget no 1/2012: financing of ITER - Motion for a resolution : single vote"",""+"",""EP"",""Budget""";;;;
"551,20/04/12,""Women and climate change - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Gender equality""";;;;
"552,20/04/12,""Legal security of European investments outside the European Union - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""International trade""";;;;
"553,20/04/12,""Situation in Burma - Joint motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Foreign & security policy""";;;;
"554,19/04/12,""Common consolidated corporate tax base - Draft legislative resolution : vote: legislative resolution - consultation"",""+"",""EP"",""Economic & monetary affairs""";;;;
"555,19/04/12,""Call for concrete ways to combat tax fraud and tax evasion - Motion for a resolution : vote: resolution (text as a whole)"",""+"",""EP"",""Economic & monetary affairs""";;;;
"556,19/04/12,""Taxation of energy products and electricity - Draft legislative resolution : vote: legislative resolution - consultation"",""+"",""EP"",""Economic & monetary affairs""";;;;
"557,19/04/12,""Risk sharing instruments for Member States experiencing or threatened with serious difficulties with respect to their financial stability - Draft legislative resolution : vote: amended proposal   - ordinary legislative procedure, first reading"",""+"",""EP"",""Regional development""";;;;
